web-scraper-order,web-scraper-start-url,Discs,Discs-href,Name,Manufacturer,DIscType,Stability,Skill,MFNum,RFNum,NumReviews,Rating
"1715300734-1","https://infinitediscs.com/brand/lone-star-disc","Yellow Rose","https://infinitediscs.com/lone-star-disc-yellow-rose","Yellow Rose","Lone Star Disc","Primary Use: Putt & Approach","Stability: Stable","Recommended Skill Level: Everyone","2.0/4.0/0.0/1.0","2/4/0/1","(0 Reviews)","0"
"1715300738-2","https://infinitediscs.com/brand/lone-star-disc","Super Dillo","https://infinitediscs.com/lone-star-disc-super-dillo","Super Dillo","Lone Star Disc","Primary Use: Putt & Approach","Stability: Understable","Recommended Skill Level: Everyone","1.0/4.0/-3.0/1.0","1/4/-3/0.9","(5 Reviews)","4.6"
"1715300742-3","https://infinitediscs.com/brand/lone-star-disc","Penny Putter","https://infinitediscs.com/lone-star-disc-penny-putter","Penny Putter","Lone Star Disc","Primary Use: Putt & Approach","Stability: Stable","Recommended Skill Level: Everyone","3.0/4.0/0.0/2.0","3/3.5/-0.4/1.5","(37 Reviews)","4.59"
"1715300746-4","https://infinitediscs.com/brand/lone-star-disc","Jackrabbit","https://infinitediscs.com/lone-star-disc-jack-rabbit","Jackrabbit","Lone Star Disc","Primary Use: Putt & Approach","Stability: Very Overstable","Recommended Skill Level: Everyone","3.0/3.0/0.0/3.0","2.9/2.8/0/2.9","(10 Reviews)","4.5"
"1715300750-5","https://infinitediscs.com/brand/lone-star-disc","Horny Toad","https://infinitediscs.com/lone-star-disc-horny-toad","Horny Toad","Lone Star Disc","Primary Use: Putt & Approach","Stability: Overstable","Recommended Skill Level: Intermediate, Advanced","4.0/3.0/0.0/3.0","4/3/0/3","(4 Reviews)","4.5"
"1715300754-6","https://infinitediscs.com/brand/lone-star-disc","Copperhead","https://infinitediscs.com/lone-star-disc-copperhead","Copperhead","Lone Star Disc","Primary Use: Putt & Approach","Stability: Overstable","Recommended Skill Level: Intermediate, Advanced","3.0/4.0/0.0/2.0","3/3.9/0/1.9","(11 Reviews)","4.73"
"1715300758-7","https://infinitediscs.com/brand/lone-star-disc","Bull Snake","https://infinitediscs.com/lone-star-disc-bull-snake","Bull Snake","Lone Star Disc","Primary Use: Putt & Approach","Stability: Stable","Recommended Skill Level: Intermediate, Advanced","3.0/2.0/0.0/4.0","3/2.1/0/3.6","(7 Reviews)","2.93"
"1715300763-8","https://infinitediscs.com/brand/lone-star-disc","Bluebonnet","https://infinitediscs.com/lone-star-disc-bluebonnet","Bluebonnet","Lone Star Disc","Primary Use: Putt & Approach","Stability: Stable","Recommended Skill Level: Everyone","2.0/3.0/0.0/1.0","2/3.1/0/1.1","(4 Reviews)","5"
"1715300767-9","https://infinitediscs.com/brand/lone-star-disc","Benny","https://infinitediscs.com/lone-star-disc-benny","Benny","Lone Star Disc","Primary Use: Putt & Approach","Stability: Stable","Recommended Skill Level: Everyone","3.0/4.0/0.0/2.0","3/4/0/1.9","(4 Reviews)","4.25"
"1715300771-10","https://infinitediscs.com/brand/lone-star-disc","Artemis","https://infinitediscs.com/lone-star-disc-artemis","Artemis","Lone Star Disc","Primary Use: Putt & Approach","Stability: Stable","Recommended Skill Level: Everyone","4.0/4.0/0.0/2.0","4/4/0/2","(1 Reviews)","5"
"1715300775-11","https://infinitediscs.com/brand/lone-star-disc","Armadillo","https://infinitediscs.com/lone-star-disc-armadillo","Armadillo","Lone Star Disc","Primary Use: Putt & Approach","Stability: Stable","Recommended Skill Level: Everyone","1.0/2.0/0.0/1.0","1/2.1/-0.1/1","(35 Reviews)","4.73"
"1715300782-12","https://infinitediscs.com/brand/lone-star-disc","Walker","https://infinitediscs.com/lone-star-disc-walker","Walker","Lone Star Disc","Primary Use: Mid Range","Stability: Overstable","Recommended Skill Level:","5.0/3.0/0.0/4.0","5/3.1/0/3.9","(10 Reviews)","4.25"
"1715300786-13","https://infinitediscs.com/brand/lone-star-disc","Texas Ranger","https://infinitediscs.com/lone-star-disc-texas-ranger","Texas Ranger","Lone Star Disc","Primary Use: Mid Range","Stability: Stable","Recommended Skill Level: Everyone","5.0/5.0/-1.0/1.0","5/5/-0.9/1.2","(20 Reviews)","4.43"
"1715300791-14","https://infinitediscs.com/brand/lone-star-disc","Middy","https://infinitediscs.com/lone-star-disc-middy","Middy","Lone Star Disc","Primary Use: Mid Range","Stability: Stable","Recommended Skill Level: Everyone","5.0/5.0/0.0/3.0","5/4.9/0/2.8","(14 Reviews)","4.68"
"1715300794-15","https://infinitediscs.com/brand/lone-star-disc","Lone Wolf","https://infinitediscs.com/lone-star-disc-lone-wolf","Lone Wolf","Lone Star Disc","Primary Use: Mid Range","Stability: Understable","Recommended Skill Level: Beginner, Everyone","5.0/5.0/-3.0/1.0","4.9/4.8/-3.5/0.8","(6 Reviews)","3.17"
"1715300799-16","https://infinitediscs.com/brand/lone-star-disc","Harpoon","https://infinitediscs.com/lone-star-disc-harpoon","Harpoon","Lone Star Disc","Primary Use: Mid Range","Stability: Stable","Recommended Skill Level: Everyone","4.0/3.0/0.0/2.0","4/3.1/-0.1/2.1","(19 Reviews)","4.26"
"1715300804-17","https://infinitediscs.com/brand/lone-star-disc","BearKat","https://infinitediscs.com/lone-star-disc-bearkat","BearKat","Lone Star Disc","Primary Use: Mid Range","Stability: Understable","Recommended Skill Level: Everyone","5.0/5.0/-2.0/1.0","5/5/-2/1","(2 Reviews)","4.25"
"1715300808-18","https://infinitediscs.com/brand/lone-star-disc","BB6","https://infinitediscs.com/lone-star-disc-bb6","BB6","Lone Star Disc","Primary Use: Mid Range","Stability: Understable","Recommended Skill Level: Everyone","4.0/5.0/-2.0/1.0","4.4/5/-2.1/1","(15 Reviews)","4.7"
"1715300812-19","https://infinitediscs.com/brand/lone-star-disc","Wrangler","https://infinitediscs.com/lone-star-disc-wrangler","Wrangler","Lone Star Disc","Primary Use: Control Driver","Stability: Overstable","Recommended Skill Level: Intermediate, Advanced","9.0/5.0/-1.0/2.0","9/5/-1/2","(1 Reviews)","4"
"1715300817-20","https://infinitediscs.com/brand/lone-star-disc","The Dome","https://infinitediscs.com/lone-star-disc-the-dome","The Dome","Lone Star Disc","Primary Use: Control Driver","Stability: Understable","Recommended Skill Level: Beginner, Everyone","8.0/6.0/-3.0/1.0","7.9/5.9/-3.2/0.9","(11 Reviews)","3.95"
"1715300822-21","https://infinitediscs.com/brand/lone-star-disc","Spur","https://infinitediscs.com/lone-star-disc-spur","Spur","Lone Star Disc","Primary Use: Control Driver","Stability: Stable","Recommended Skill Level:","9.0/4.0/0.0/3.0","9/4/0/3","(1 Reviews)","3"
"1715300826-22","https://infinitediscs.com/brand/lone-star-disc","Mockingbird","https://infinitediscs.com/lone-star-disc-mockingbird","Mockingbird","Lone Star Disc","Primary Use: Control Driver","Stability: Understable","Recommended Skill Level: Everyone","7.0/5.0/-2.0/1.0","7/5.2/-1.9/1","(32 Reviews)","4.81"
"1715300830-23","https://infinitediscs.com/brand/lone-star-disc","Mad Cat","https://infinitediscs.com/lone-star-disc-mad-cat","Mad Cat","Lone Star Disc","Primary Use: Control Driver","Stability: Overstable","Recommended Skill Level: Intermediate, Advanced","9.0/5.0/0.0/2.0","9/4.8/-0.1/2.3","(22 Reviews)","4.61"
"1715300835-24","https://infinitediscs.com/brand/lone-star-disc","Lariat","https://infinitediscs.com/lone-star-disc-lariat","Lariat","Lone Star Disc","Primary Use: Control Driver","Stability: Stable","Recommended Skill Level: Everyone","9.0/5.0/-1.0/1.0","9/4.9/-1/1.1","(15 Reviews)","4.73"
"1715300838-25","https://infinitediscs.com/brand/lone-star-disc","Guadalupe","https://infinitediscs.com/lone-star-disc-guadalupe","Guadalupe","Lone Star Disc","Primary Use: Control Driver","Stability: Stable","Recommended Skill Level: Everyone","7.0/6.0/-2.0/2.0","7/5.9/-2/2","(16 Reviews)","4.81"
"1715300843-26","https://infinitediscs.com/brand/lone-star-disc","Frio","https://infinitediscs.com/lone-star-disc-frio","Frio","Lone Star Disc","Primary Use: Control Driver","Stability: Stable","Recommended Skill Level: Everyone","7.0/5.0/-1.0/1.0","7.1/5/-0.9/1.1","(7 Reviews)","4.29"
"1715300847-27","https://infinitediscs.com/brand/lone-star-disc","Dos X","https://infinitediscs.com/lone-star-disc-dos-x","Dos X","Lone Star Disc","Primary Use: Control Driver","Stability: Stable","Recommended Skill Level: Beginner, Everyone","8.0/4.0/-1.0/2.0","8/4.1/-0.8/2","(8 Reviews)","4"
"1715300852-28","https://infinitediscs.com/brand/lone-star-disc","Chupacabra","https://infinitediscs.com/lone-star-disc-chupacabra","Chupacabra","Lone Star Disc","Primary Use: Control Driver","Stability: Stable","Recommended Skill Level: Intermediate, Advanced","9.0/3.0/0.0/4.0","9/2.9/0.3/4.1","(13 Reviews)","4.15"
"1715300855-29","https://infinitediscs.com/brand/lone-star-disc","Brazos","https://infinitediscs.com/lone-star-disc-brazos","Brazos","Lone Star Disc","Primary Use: Control Driver","Stability: Stable","Recommended Skill Level: Everyone","7.0/5.0/0.0/2.0","7/4.8/-0.1/2.1","(6 Reviews)","4.33"
"1715300860-30","https://infinitediscs.com/brand/lone-star-disc","Warbird","https://infinitediscs.com/lone-star-disc-warbird","Warbird","Lone Star Disc","Primary Use: Distance Driver","Stability: Overstable","Recommended Skill Level:","12.0/6.0/-1.0/3.0","12/5.9/-0.8/3","(20 Reviews)","4.58"
"1715300864-31","https://infinitediscs.com/brand/lone-star-disc","Tumbleweed","https://infinitediscs.com/lone-star-disc-tumbleweed","Tumbleweed","Lone Star Disc","Primary Use: Distance Driver","Stability: Understable","Recommended Skill Level: Beginner, Everyone","10.0/6.0/-3.0/1.0","10/6/-3.5/1","(17 Reviews)","4.59"
"1715300868-32","https://infinitediscs.com/brand/lone-star-disc","Tombstone","https://infinitediscs.com/lone-star-disc-tombstone","Tombstone","Lone Star Disc","Primary Use: Distance Driver","Stability: Very Overstable","Recommended Skill Level: Advanced","13.0/4.0/0.0/4.0","12.9/3.6/0/4.1","(5 Reviews)","3.9"
"1715300872-33","https://infinitediscs.com/brand/lone-star-disc","Seguin","https://infinitediscs.com/lone-star-disc-seguin","Seguin","Lone Star Disc","Primary Use: Distance Driver","Stability: Overstable","Recommended Skill Level: Intermediate, Advanced","13.0/5.0/0.0/2.0","13.1/4.8/0/2.3","(4 Reviews)","4"
"1715300876-34","https://infinitediscs.com/brand/lone-star-disc","Nimitz","https://infinitediscs.com/lone-star-disc-nimitz","Nimitz","Lone Star Disc","Primary Use: Distance Driver","Stability: Overstable","Recommended Skill Level: Intermediate, Advanced","11.0/5.0/-1.0/3.0","11.1/4.9/-1/2.9","(12 Reviews)","4.21"
"1715300887-35","https://infinitediscs.com/brand/lone-star-disc","Harrier","https://infinitediscs.com/lone-star-disc-harrier","Harrier","Lone Star Disc","Primary Use: Distance Driver","Stability: Understable","Recommended Skill Level: Everyone","12.0/6.0/-3.0/2.0","12/5.9/-3.1/1.7","(6 Reviews)","4.5"
"1715300890-36","https://infinitediscs.com/brand/lone-star-disc","Growler","https://infinitediscs.com/lone-star-disc-growler","Growler","Lone Star Disc","Primary Use: Distance Driver","Stability: Understable","Recommended Skill Level: Intermediate, Advanced","12.0/6.0/-3.0/2.0","12.1/6/-3/2","(4 Reviews)","5"
"1715300894-37","https://infinitediscs.com/brand/lone-star-disc","Curl","https://infinitediscs.com/lone-star-disc-curl","Curl","Lone Star Disc","Primary Use: Distance Driver","Stability: Overstable","Recommended Skill Level: Intermediate, Advanced","11.0/5.0/-1.0/2.0","11/5.6/-1.4/2.2","(41 Reviews)","4.66"
"1715300900-38","https://infinitediscs.com/brand/lone-star-disc","Crockett","https://infinitediscs.com/lone-star-disc-crockett","Crockett","Lone Star Disc","Primary Use: Distance Driver","Stability: Overstable","Recommended Skill Level: Advanced","13.0/4.0/-1.0/3.0","13/4/-0.8/3","(2 Reviews)","5"
"1715300904-39","https://infinitediscs.com/brand/lone-star-disc","Bowie","https://infinitediscs.com/lone-star-disc-bowie","Bowie","Lone Star Disc","Primary Use: Distance Driver","Stability: Overstable","Recommended Skill Level: Advanced","13.0/5.0/-1.0/3.0","13/4.7/-0.5/3.4","(12 Reviews)","4.13"
"1715300909-40","https://infinitediscs.com/brand/lone-star-disc","Bayonet","https://infinitediscs.com/lone-star-disc-bayonet","Bayonet","Lone Star Disc","Primary Use: Distance Driver","Stability: Stable","Recommended Skill Level: Intermediate, Advanced","13.0/5.0/-2.0/2.0","13/5/-1.4/2.3","(14 Reviews)","4.39"
